batch,total_chains,elapsed_sec,ks_stat,converged,eta_mean,eta_sd
1,4,373.6869999999999,0.09646249999998346,FALSE,0.6589711117219523,0.24274753371227897
2,8,742.8369999999998,0.05859374999999931,FALSE,0.6403750552453883,0.2367283170824773
3,12,1099.972,0.07735833333332892,FALSE,0.6492092163564334,0.24124239817643486
4,16,1464.9709999999998,0.07410312499991176,FALSE,0.6481658171335385,0.239299770260738
5,20,1831.0559999999998,0.0818999999999996,FALSE,0.6539693906406688,0.2391578738302706
6,24,2206.4700000000003,0.08423541666666609,FALSE,0.653666719213937,0.2415328597754945
7,28,2594.978,0.09231249999980981,FALSE,0.6586606234386141,0.24072709162713793
8,32,2957.8280000000004,0.09914062500008643,FALSE,0.6614252015449031,0.24116943222149487
9,36,3314.8900000000003,0.08242499999991447,FALSE,0.6507207388621192,0.2450961956983761
10,40,3677.634,0.08365625000000404,FALSE,0.6518919100790901,0.24423847685511882
