batch,total_chains,elapsed_sec,ks_stat,converged,eta_mean,eta_sd
1,4,119.61200000000008,0.3374249999998878,FALSE,0.37272027528668267,0.29061489672613444
2,8,238.73300000000017,0.23139999999983818,FALSE,0.2976639540650216,0.2480358140124883
3,12,359.1149999999998,0.22308749999997954,FALSE,0.29551902025767757,0.24644088778418746
4,16,486.4349999999995,0.2299468750000885,FALSE,0.29991459750495464,0.24708224125037248
5,20,623.076,0.23986249999998094,FALSE,0.3034216630697961,0.24567914539259633
6,24,751.366,0.24621249999949413,FALSE,0.30769768446347906,0.24765078784236713
7,28,884.2699999999995,0.24595357142883317,FALSE,0.3080711255291703,0.24800940929497445
8,32,1013.9259999999995,0.2412906249994977,FALSE,0.3065930068085483,0.24898569890987643
9,36,1150.4939999999997,0.23527500000040896,FALSE,0.3024509727808565,0.24602733116937447
10,40,1285.625,0.22899999999917975,FALSE,0.2982700144834532,0.24315072982081723
