estimator,total_chains,elapsed_sec,batches_run,final_ks,converged
exact,16,45.02399999999999,4,0.029421874999964535,TRUE
prior_importance,40,1251.903,10,0.3230750000002126,FALSE
importance,40,3677.634,10,0.08365625000000404,FALSE
power,8,254.85500000000047,2,0.017187500000017113,TRUE
