estimator,total_chains,elapsed_sec,batches_run,final_ks,converged
exact,8,20.57299999999941,2,0.03270624999998553,TRUE
prior_importance,40,1285.625,10,0.22899999999917975,FALSE
importance,12,1100.6419999999998,3,0.04956249999999964,TRUE
power,4,129.8159999999998,1,0.0328875000000142,TRUE
